Candidates,Acton,Boat Harbour,Burnie,Calder,Cooee,Currie,Devonport Central,Devonport North West,Devonport South,Devonport West,Don,East Devonport,Edith Creek,Elliott,Forest,Forth,Gawler,Grassy,Havenview,Heybridge,Highclere,Irishtown,Latrobe,Marrawah,Melrose,Montello,Moorleah,Natone,North Motton,Penguin,Port Sorell,Queenstown,Riana,Ridgley,Rocky Cape,Romaine,Rosebery,Sassafras,Shorewell Park,Sisters Beach,Sisters Creek,Smithton,Somerset,South Riana,Sprent,Spreyton,Stanley,Stowport,Strahan,Sulphur Creek,Tullah,Turners Beach,Ulverstone Central,Ulverstone East,Ulverstone South,Waratah,Wesley Vale,West Ulverstone,Wivenhoe,Wynyard Central,Wynyard West,Yolla,Zeehan,Total Ordinary Votes,Burnie Pre-Poll,Devonport Pre-Poll,Queenstown Pre-Poll,Smithton Pre-Poll,Out of Division Pre-Poll,Postal,Mobile,Out of Division,Provisional,Total
"FABIAN, Patrick",10,3,7,1,3,7,20,19,12,9,12,14,2,2,4,15,11,1,3,2,2,4,25,3,5,6,2,0,5,20,9,6,0,10,4,10,6,2,8,0,0,24,11,6,10,11,4,2,4,10,1,17,36,33,68,2,6,50,8,10,8,0,1,606,58,93,8,22,3,30,26,7,5,858
"JAENSCH, Roger",34,24,48,22,49,5,11,46,15,10,17,30,8,24,21,16,12,1,20,10,8,15,42,12,5,28,15,4,13,49,42,7,6,23,28,44,11,8,54,21,12,50,88,7,5,24,29,12,13,34,2,38,25,19,54,5,9,46,12,183,149,20,7,"1,701",405,199,15,124,13,159,37,45,6,"2,704"
"LAIDLER, Sarina",13,4,7,2,3,168,8,7,7,8,5,12,4,2,4,3,5,29,2,2,0,4,17,1,1,4,1,0,2,20,18,4,1,1,3,11,2,1,3,0,1,26,5,2,2,16,4,1,4,3,0,8,9,4,19,2,0,13,2,18,9,5,4,546,44,48,10,31,5,71,17,14,1,787
"MEAD, Vonette",7,3,9,0,6,4,35,76,31,23,44,28,0,5,7,20,15,1,0,2,0,0,137,1,13,8,2,3,13,26,118,4,2,5,3,5,5,25,4,4,0,12,10,1,9,56,2,4,2,6,1,24,16,10,31,0,33,22,2,15,12,1,2,965,52,292,6,11,9,54,27,49,2,"1,467"
"ROCKLIFF, Jeremy",167,77,206,37,169,165,260,714,274,258,396,492,34,93,141,163,186,19,86,72,31,64,800,48,113,125,32,31,128,460,849,73,45,134,84,251,44,135,191,43,44,273,296,65,83,482,127,77,88,215,26,295,357,227,466,21,147,371,67,295,250,62,57,"12,081","1,669","3,126",171,525,91,"1,245",255,380,29,"19,572"
"SIMPSON, Giovanna",72,11,54,8,38,4,17,26,9,16,10,16,3,10,3,12,10,0,39,9,10,11,23,2,2,59,8,5,8,54,29,4,1,45,11,87,5,1,51,8,4,23,63,2,1,16,5,24,6,39,4,18,17,6,26,2,9,24,14,36,37,8,6,"1,181",380,91,6,44,4,76,33,33,4,"1,852"
Liberal Party,356,149,381,82,303,387,407,"1,014",417,385,564,716,61,160,209,294,312,58,177,122,62,126,"1,184",98,156,273,72,48,222,787,"1,251",151,69,272,162,475,107,187,379,84,65,544,557,97,139,674,197,141,164,373,51,509,587,411,832,35,233,685,132,652,523,106,132,"20,558","2,983","4,458",299,920,143,"1,931",436,618,57,"32,403"
"BRIGGS, Darren",21,18,51,9,26,7,49,88,31,26,54,42,5,15,7,64,17,5,6,6,2,1,53,4,10,44,10,3,20,139,94,13,8,10,4,26,5,3,33,24,7,19,29,9,10,29,26,7,8,46,5,47,59,33,73,6,11,58,9,57,28,8,2,"1,639",208,272,16,19,21,213,20,73,12,"2,493"
"KERSEY, Sarah",7,2,7,0,4,8,5,20,12,8,3,14,1,0,1,2,1,0,0,2,0,0,13,1,2,6,2,1,0,9,18,4,2,0,2,7,1,1,4,2,1,5,2,5,1,6,1,2,3,3,0,4,8,6,11,2,2,11,2,6,8,1,0,262,34,43,4,8,8,23,3,25,1,411
"LOVELL, Leeya",4,1,6,0,3,2,4,24,4,8,5,13,0,3,1,3,2,1,1,2,0,0,10,2,0,8,2,0,0,8,16,4,1,5,3,3,0,3,4,1,0,6,7,0,1,7,4,2,0,2,1,3,6,2,6,5,3,8,1,11,8,2,0,242,24,44,2,4,2,21,4,19,2,364
"McLOUGHLIN, Michael",6,0,6,0,4,2,10,17,10,8,6,8,0,1,0,4,1,0,1,1,1,1,9,0,1,3,3,0,0,4,12,2,0,1,1,7,1,0,5,1,0,6,7,0,0,9,2,1,2,1,0,2,5,7,9,1,5,8,1,9,4,0,3,219,31,45,6,6,3,23,3,21,0,357
"MORROW, Erin",6,1,6,1,2,5,10,14,3,6,4,11,0,3,1,2,5,0,2,1,1,0,6,0,0,7,2,1,2,16,12,2,1,4,1,6,0,1,7,2,0,3,7,0,0,3,2,1,1,1,1,3,5,3,9,1,1,2,1,4,7,0,2,211,17,27,1,7,3,24,2,20,2,314
"WARD, Susanne",6,2,9,2,4,4,10,17,8,8,10,10,0,1,1,4,2,1,1,1,0,1,13,0,2,6,3,0,1,18,18,2,1,2,0,7,3,0,4,3,2,7,7,0,4,7,0,1,0,5,0,3,11,5,9,1,1,7,1,8,2,0,2,268,33,39,3,2,5,22,8,21,2,403
"WILDEN, Petra",14,0,4,0,2,3,11,23,8,7,9,7,1,4,4,4,1,1,2,0,1,3,7,0,3,4,1,2,2,7,12,2,0,3,3,4,4,1,2,0,1,8,4,0,1,6,1,5,1,0,0,4,8,2,10,1,2,6,2,5,1,0,3,237,22,44,2,1,4,32,1,16,0,359
Tasmanian Greens,64,24,89,12,45,31,99,203,76,71,91,105,7,27,15,83,29,8,13,13,5,6,111,7,18,78,23,7,25,201,182,29,13,25,14,60,14,9,59,33,11,54,63,14,17,67,36,19,15,58,7,66,102,58,127,17,25,100,17,100,58,11,12,"3,078",369,514,34,47,46,358,41,195,19,"4,701"
"KING, Julia M",15,0,16,3,12,10,12,36,19,16,16,38,5,4,3,4,5,2,7,4,4,1,27,1,2,12,1,3,12,19,29,5,0,1,2,18,5,0,8,3,0,13,20,2,3,26,2,3,4,2,3,1,7,10,27,3,1,18,2,24,17,3,10,581,77,89,17,9,1,65,6,18,3,866
Animal Justice Party,15,0,16,3,12,10,12,36,19,16,16,38,5,4,3,4,5,2,7,4,4,1,27,1,2,12,1,3,12,19,29,5,0,1,2,18,5,0,8,3,0,13,20,2,3,26,2,3,4,2,3,1,7,10,27,3,1,18,2,24,17,3,10,581,77,89,17,9,1,65,6,18,3,866
"JONES, Brenton",17,2,7,3,6,9,3,21,13,15,9,17,3,4,6,5,6,3,7,0,3,3,38,3,4,11,1,5,11,14,11,7,3,8,2,10,8,3,11,1,1,16,16,6,5,13,2,2,3,6,0,7,5,8,8,2,3,11,1,19,9,8,10,474,52,68,13,17,2,41,6,33,0,706
"MARSHALL, Dale",12,0,8,1,11,9,11,24,18,14,16,22,6,9,7,10,3,1,3,2,3,4,54,2,4,14,4,2,6,21,15,4,2,9,2,5,11,10,10,2,2,17,12,4,8,37,4,5,3,9,2,10,10,10,18,1,9,12,6,8,13,6,9,586,66,119,11,11,7,52,6,27,5,890
"SWANSON, Kim",6,2,4,0,8,10,2,5,6,8,3,11,4,3,4,7,2,0,1,3,2,1,17,2,4,5,1,5,7,12,11,6,3,5,2,5,4,3,8,1,0,7,12,2,10,10,0,1,7,4,0,6,7,1,9,1,0,4,4,9,9,5,6,307,26,46,6,4,2,34,4,22,1,452
"Shooters, Fishers, Farmers TAS",35,4,19,4,25,28,16,50,37,37,28,50,13,16,17,22,11,4,11,5,8,8,109,7,12,30,6,12,24,47,37,17,8,22,6,20,23,16,29,4,3,40,40,12,23,60,6,8,13,19,2,23,22,19,35,4,12,27,11,36,31,19,25,"1,367",144,233,30,32,11,127,16,82,6,"2,048"
"GARLAND, Craig",66,88,79,34,64,23,14,52,23,25,34,51,11,48,10,28,36,4,22,28,7,18,45,23,9,64,56,10,20,125,74,4,5,30,45,49,14,1,42,85,28,61,134,12,16,27,49,20,8,47,5,16,44,13,53,6,12,40,24,285,159,36,7,"2,568",481,165,19,91,8,189,28,80,9,"3,638"
Group G,66,88,79,34,64,23,14,52,23,25,34,51,11,48,10,28,36,4,22,28,7,18,45,23,9,64,56,10,20,125,74,4,5,30,45,49,14,1,42,85,28,61,134,12,16,27,49,20,8,47,5,16,44,13,53,6,12,40,24,285,159,36,7,"2,568",481,165,19,91,8,189,28,80,9,"3,638"
"BURNETT, Gatty",1,1,1,0,1,1,4,6,4,1,1,2,0,0,3,2,1,0,0,0,0,4,3,2,1,1,1,0,0,2,6,1,1,1,0,3,1,0,0,0,0,2,2,1,1,3,1,0,0,0,0,3,1,1,4,1,0,2,0,2,3,1,2,86,9,9,0,10,1,8,0,3,1,127
"COURTNEY, Andrea",6,1,7,0,3,2,1,2,2,3,1,1,1,1,0,1,0,0,0,0,0,1,6,1,0,4,0,0,0,5,3,0,0,0,1,6,0,0,0,0,0,2,10,0,0,3,1,0,1,0,2,2,1,1,3,1,0,4,0,14,13,1,2,120,12,12,1,3,1,9,0,10,0,168
"FRESHNEY, Peter",8,5,10,2,9,11,22,54,24,17,39,31,0,4,2,15,10,0,3,1,1,1,153,0,10,9,2,4,3,13,114,0,0,4,1,9,4,19,10,2,1,2,10,1,7,39,1,3,0,5,0,20,20,4,26,1,27,29,4,11,5,1,9,852,37,268,4,9,4,76,12,18,1,"1,281"
"HAMER, Liz",5,0,1,0,0,1,0,2,2,1,1,3,0,2,0,0,0,1,0,0,0,0,5,0,0,3,0,0,1,4,4,7,0,0,0,3,6,0,2,0,0,3,3,0,0,2,0,0,23,1,1,0,1,1,3,1,0,0,0,1,5,0,4,103,8,6,10,4,1,11,1,5,0,149
ungrouped,20,7,19,2,13,15,27,64,32,22,42,37,1,7,5,18,11,1,3,1,1,6,167,3,11,17,3,4,4,24,127,8,1,5,2,21,11,19,12,2,1,9,25,2,8,47,3,3,24,6,3,25,23,7,36,4,27,35,4,28,26,3,17,"1,161",66,295,15,26,7,104,13,36,2,"1,725"
Total Formal Ballot Papers,"1,212",370,989,180,735,640,840,"2,156","1,019",939,"1,172","1,804",136,390,337,639,577,112,418,271,129,207,"2,432",175,265,864,211,104,476,"1,776","2,397",372,139,547,316,"1,091",301,267,914,299,128,"1,045","1,446",213,288,"1,331",388,274,297,728,104,939,"1,253",804,"1,871",139,428,"1,559",292,"1,769","1,225",288,370,"45,397","7,055","9,071",665,"1,583",312,"4,382",903,"1,456",169,"70,993"
Informal Ballot Papers,121,14,61,16,39,71,70,151,88,110,79,198,15,23,27,30,35,16,34,19,13,17,216,5,12,93,19,17,36,134,137,29,8,35,20,88,39,8,53,20,8,86,132,15,25,149,22,28,24,49,7,59,86,62,174,4,17,126,20,151,107,20,33,"3,620",478,634,43,74,17,131,84,126,13,"5,220"
Total Ballot Papers,"1,333",384,"1,050",196,774,711,910,"2,307","1,107","1,049","1,251","2,002",151,413,364,669,612,128,452,290,142,224,"2,648",180,277,957,230,121,512,"1,910","2,534",401,147,582,336,"1,179",340,275,967,319,136,"1,131","1,578",228,313,"1,480",410,302,321,777,111,998,"1,339",866,"2,045",143,445,"1,685",312,"1,920","1,332",308,403,"49,017","7,533","9,705",708,"1,657",329,"4,513",987,"1,582",182,"76,213"
