Candidates,Avoca,Bagdad,Bicheno,Bothwell,Bracknell,Bridgewater,Brighton,Broadmarsh,Campania,Campbell Town,Carrick,Chudleigh,Claude Road,Colebrook,Coles Bay,Copping,Cressy,Deloraine,Dodges Ferry,Dromedary,Dunalley,Elizabeth Town,Epping,Evandale,Fingal,Gagebrook,Glenora,Granton,Hadspen,Hagley,Kempton,Lachlan,Longford,Lower Barrington,Magra,Meander,Midway Point,Miena,Mole Creek,Molesworth,New Norfolk,New Norfolk North,Nubeena,Oatlands,Old Beach,Orford,Ouse,Perth,Pontville,Primrose Sands,Prospect,Prospect Vale,Railton,Richmond,Ross,Scamander,Sheffield,Sorell,St Helens,St Marys,Swansea,Taranna,Tea Tree,Triabunna,Tunnack,Westbury,Westerway,Wilmot,Total Ordinary Votes,Launceston Pre-Poll (Bass),New Norfolk Pre-Poll,Sorell Pre-Poll,St Helens Pre-Poll,Out of Division Pre-Poll,Postal,Mobile,Out of Division,Provisional,Total
"DUDMAN, Ben",2,13,11,3,11,42,60,0,4,8,21,5,4,3,0,1,8,91,16,14,8,7,3,17,4,21,5,7,33,14,3,9,26,9,3,14,11,0,10,6,36,32,10,7,22,5,0,23,19,10,4,30,14,3,2,7,18,31,13,13,2,4,4,5,3,136,2,1,983,74,11,36,30,58,154,12,127,6,"1,491"
"FARRELL, Casey",4,9,2,6,2,19,26,3,7,7,3,1,3,0,3,2,2,21,21,18,2,2,1,4,7,15,8,9,15,1,1,38,7,10,33,3,27,2,5,37,136,67,11,5,22,5,8,19,12,5,2,17,9,3,2,5,18,29,12,5,5,6,1,5,0,6,13,5,819,13,91,26,28,46,85,9,62,3,"1,182"
"GOSS, Richard",8,7,8,6,18,27,21,2,4,38,28,5,4,1,2,0,113,12,13,3,2,3,9,67,4,15,0,12,74,5,1,4,267,5,3,0,6,4,7,1,12,5,4,11,24,4,2,197,7,8,10,60,10,7,18,6,12,16,10,10,4,3,2,6,2,7,3,4,"1,273",122,6,21,22,25,146,24,143,8,"1,790"
"McQUEENEY, Carole",3,6,5,3,2,29,28,1,6,4,2,2,4,1,3,0,3,15,9,5,4,1,0,5,2,33,3,5,11,0,2,2,11,3,2,5,15,1,1,3,15,12,15,4,21,26,3,13,4,13,4,13,7,3,1,5,12,17,7,6,12,3,4,28,2,12,5,1,508,18,11,49,20,39,53,10,69,3,780
"WHITE, Rebecca",35,168,109,29,32,440,477,44,115,136,114,30,52,38,24,54,67,236,540,84,103,27,28,138,48,277,49,152,248,42,42,94,313,77,90,27,414,27,33,59,345,217,207,122,445,70,46,339,144,173,76,264,107,226,63,70,160,711,134,120,163,78,53,101,44,184,52,24,"9,850",584,354,"1,156",322,681,"1,564",97,958,41,"15,607"
Australian Labor Party,61,293,153,94,69,766,749,72,159,228,188,45,80,55,33,58,212,426,636,142,128,43,44,255,92,485,76,247,420,68,159,165,709,113,151,54,510,44,60,116,626,409,265,199,629,119,74,652,240,228,109,415,174,260,102,113,248,845,238,194,199,99,74,154,65,398,84,40,"15,710",890,546,"1,393",566,993,"2,347",173,"1,584",74,"24,276"
"JENNER, Andrew",3,16,16,1,9,46,45,5,14,12,12,6,21,7,1,11,20,69,50,7,18,5,7,14,7,28,6,20,43,7,6,11,56,20,7,10,34,6,15,4,31,24,17,14,38,13,3,68,13,17,4,35,47,88,11,14,41,49,36,13,10,15,7,23,7,26,12,14,"1,385",89,37,129,61,115,203,11,140,7,"2,177"
"PFITZNER, Troy",10,43,20,6,5,65,95,9,15,19,15,7,14,5,2,4,18,39,23,21,15,8,6,22,10,40,9,28,21,8,13,17,39,11,20,4,30,6,4,9,48,36,15,21,56,3,12,35,39,18,5,27,28,16,11,6,32,57,24,19,15,12,8,13,5,29,12,7,"1,364",75,50,120,56,119,196,10,128,9,"2,127"
"PYECROFT, Lesley",1,11,16,8,9,28,32,2,6,22,24,6,24,4,0,4,26,61,22,3,10,5,1,26,11,18,8,10,38,15,7,7,66,17,10,8,24,5,7,8,21,20,18,8,35,4,6,70,12,13,9,39,25,9,7,6,34,36,31,13,11,8,1,14,6,44,5,14,"1,129",123,31,69,60,83,202,13,123,8,"1,841"
Jacqui Lambie Network,14,70,52,15,23,139,172,16,35,53,51,19,59,16,3,19,64,169,95,31,43,18,14,62,28,86,23,58,102,30,26,35,161,48,37,22,88,17,26,21,100,80,50,43,129,20,21,173,64,48,18,101,100,113,29,26,107,142,91,45,36,35,16,50,18,99,29,35,"3,878",287,118,318,177,317,601,34,391,24,"6,145"
"TUCKER, John",8,7,27,4,11,10,24,0,18,28,31,10,22,7,22,8,24,48,37,17,13,12,7,40,24,11,4,6,23,11,11,9,72,13,6,4,18,6,3,3,15,10,12,16,21,18,5,47,10,8,4,30,20,18,11,36,35,59,124,34,42,8,6,8,3,51,2,9,"1,321",113,29,146,253,60,279,8,93,7,"2,309"
Group D,8,7,27,4,11,10,24,0,18,28,31,10,22,7,22,8,24,48,37,17,13,12,7,40,24,11,4,6,23,11,11,9,72,13,6,4,18,6,3,3,15,10,12,16,21,18,5,47,10,8,4,30,20,18,11,36,35,59,124,34,42,8,6,8,3,51,2,9,"1,321",113,29,146,253,60,279,8,93,7,"2,309"
"BIGG, Phillip",3,11,3,5,7,17,19,1,8,11,1,3,3,1,3,4,11,16,7,3,5,5,2,9,2,12,9,15,8,4,1,8,13,5,13,3,7,2,2,12,30,18,7,7,12,3,8,18,10,3,0,4,9,3,4,2,12,16,3,2,10,4,1,5,6,15,3,1,490,16,19,21,11,33,61,2,55,7,715
"BROADBY, Shane",3,20,7,8,6,18,20,5,9,11,6,4,7,1,1,4,11,13,10,2,3,0,5,10,4,12,2,3,11,4,2,3,9,14,5,4,6,8,6,6,10,17,3,6,8,1,4,14,11,1,2,6,21,4,5,6,15,18,11,3,4,4,3,4,5,14,6,4,493,22,7,30,7,47,64,2,77,6,755
"Di FALCO, Carlo",1,9,1,5,4,7,11,3,15,8,4,3,2,2,2,2,13,19,27,3,2,1,1,7,2,14,4,7,10,0,5,0,10,7,2,4,6,5,3,1,8,6,5,4,12,2,4,15,11,5,2,2,7,4,11,2,4,29,9,6,8,4,1,7,1,6,4,1,412,23,5,38,10,19,40,1,50,1,599
"TURALE, Wayne",1,9,1,9,3,12,11,3,3,9,6,2,3,2,0,5,9,12,9,1,4,5,4,7,3,8,3,5,6,2,2,0,12,3,2,2,8,10,4,2,5,9,5,8,13,0,5,10,4,2,4,3,6,2,3,1,7,14,8,3,6,3,0,3,3,7,4,2,342,18,8,18,3,21,46,6,45,4,511
"WILLIAMS, Ray",2,17,4,10,6,23,33,2,11,16,7,4,0,4,0,0,10,6,14,14,5,6,2,3,5,9,9,13,13,3,7,21,19,6,25,4,4,4,5,8,39,41,9,16,18,4,9,15,13,7,1,7,3,6,7,4,7,20,7,4,5,1,7,8,8,13,15,2,650,17,59,34,17,36,68,4,68,0,953
"Shooters, Fishers, Farmers TAS",10,66,16,37,26,77,94,14,46,55,24,16,15,10,6,15,54,66,67,23,19,17,14,36,16,55,27,43,48,13,17,32,63,35,47,17,31,29,20,29,92,91,29,41,63,10,30,72,49,18,9,22,46,19,30,15,45,97,38,18,33,16,12,27,23,55,32,10,"2,387",96,98,141,48,156,279,15,295,18,"3,533"
"BARNETT, Guy",22,75,69,20,43,112,179,14,36,59,94,17,47,25,15,22,66,235,119,43,23,29,23,116,31,66,35,77,221,57,24,26,235,131,46,38,98,23,40,31,142,84,36,43,236,40,23,296,75,31,52,272,86,68,40,32,185,176,78,36,92,23,24,58,23,147,30,29,"5,139",513,148,291,193,424,940,58,526,20,"8,252"
"BROWN, Gregory",2,17,9,4,3,33,57,3,15,9,7,1,4,2,2,4,5,9,53,3,6,2,2,6,4,20,4,16,11,1,5,6,17,11,5,1,40,6,2,2,14,22,7,3,71,38,6,22,16,19,9,19,14,16,8,2,15,99,14,0,8,6,3,29,3,9,5,6,892,35,20,110,19,69,80,8,112,8,"1,353"
"CAMERON, Stephanie",7,13,7,7,58,33,62,4,6,16,101,102,15,4,4,6,41,203,18,7,6,35,8,38,2,21,6,7,98,59,4,10,77,21,9,45,27,12,56,2,24,21,8,15,50,4,8,87,16,2,30,82,26,19,16,10,49,46,24,11,19,2,10,5,6,119,4,4,"1,974",237,23,53,37,97,212,13,213,6,"2,865"
"DERKSEN, Justin",4,18,9,6,4,33,53,6,14,9,9,2,5,0,4,1,4,15,20,22,2,3,3,5,4,19,22,23,17,2,2,26,18,3,50,1,17,0,4,14,122,111,8,5,48,3,7,16,22,8,7,16,7,14,2,6,7,35,9,5,8,2,10,6,2,9,28,1,997,25,120,53,14,67,93,12,102,0,"1,483"
"HALLETT, Richard",5,19,8,70,5,28,78,31,23,22,15,1,7,7,4,2,22,26,30,5,11,5,13,15,1,19,25,29,18,12,14,7,35,9,20,7,15,6,1,7,34,29,11,51,41,28,44,34,19,15,7,15,12,37,24,4,18,38,10,4,39,7,16,22,10,17,33,3,"1,299",44,55,59,30,77,170,10,119,4,"1,867"
"HOWLETT, Jane",3,122,61,21,4,106,337,26,107,41,24,3,10,30,19,42,23,29,269,38,75,6,12,24,8,64,17,54,40,10,44,20,65,39,37,4,182,13,2,15,96,58,80,97,227,105,17,72,140,53,22,48,31,150,24,14,36,465,29,7,146,48,66,144,67,23,13,5,"4,329",122,93,895,78,342,547,39,374,24,"6,843"
"SHELTON, Mark",13,25,24,28,122,35,95,8,21,55,126,15,22,11,11,4,159,167,50,17,10,30,23,65,31,18,10,14,165,53,9,14,346,59,14,34,37,20,23,5,44,31,22,54,52,10,14,231,41,9,51,217,58,21,23,24,82,74,37,25,44,10,11,11,14,102,9,26,"3,335",447,44,121,127,187,519,44,346,14,"5,184"
Liberal Party,56,289,187,156,239,380,861,92,222,211,376,141,110,79,59,81,320,684,559,135,133,110,84,269,81,227,119,220,570,194,102,109,793,273,181,130,416,80,128,76,476,356,172,268,725,228,119,758,329,137,178,669,234,325,137,92,392,933,201,88,356,98,140,275,125,426,122,74,"17,965","1,423",503,"1,582",498,"1,263","2,561",184,"1,792",76,"27,847"
"GRALTON, Anna Megan",2,15,2,1,6,28,43,4,13,11,2,5,7,4,0,0,4,27,41,6,7,4,0,11,6,27,3,10,15,2,2,11,20,10,3,6,22,1,3,8,40,26,10,10,43,4,3,24,11,15,7,20,10,12,4,3,21,44,20,6,12,6,8,4,1,17,9,4,786,48,19,59,28,58,95,6,106,8,"1,213"
Animal Justice Party,2,15,2,1,6,28,43,4,13,11,2,5,7,4,0,0,4,27,41,6,7,4,0,11,6,27,3,10,15,2,2,11,20,10,3,6,22,1,3,8,40,26,10,10,43,4,3,24,11,15,7,20,10,12,4,3,21,44,20,6,12,6,8,4,1,17,9,4,786,48,19,59,28,58,95,6,106,8,"1,213"
"OFFORD, Angela",0,0,1,0,1,2,1,0,0,3,1,0,0,1,1,1,1,5,3,0,1,1,1,29,0,0,0,0,8,2,1,3,5,1,0,0,3,1,0,1,5,1,1,0,2,0,2,7,3,0,1,4,2,3,2,0,4,0,4,3,2,1,2,0,1,2,0,3,133,10,4,2,8,10,28,0,18,1,214
Group H,0,0,1,0,1,2,1,0,0,3,1,0,0,1,1,1,1,5,3,0,1,1,1,29,0,0,0,0,8,2,1,3,5,1,0,0,3,1,0,1,5,1,1,0,2,0,2,7,3,0,1,4,2,3,2,0,4,0,4,3,2,1,2,0,1,2,0,3,133,10,4,2,8,10,28,0,18,1,214
"BRANCH-ALLEN, Jenny",0,0,0,1,0,2,3,0,0,0,1,0,1,0,0,0,1,0,2,1,1,0,0,1,0,2,0,0,2,0,1,3,2,1,0,0,4,0,0,0,3,3,0,1,0,0,0,2,1,0,0,0,2,0,0,1,1,4,1,0,0,0,0,0,1,1,0,0,50,3,1,9,1,10,8,0,9,1,92
"MILLER, Fraser",0,3,0,0,0,3,2,0,3,1,1,0,1,0,0,0,0,3,0,1,1,0,0,1,0,2,0,1,0,0,0,0,2,0,0,0,2,0,0,0,1,2,2,1,1,1,1,3,0,0,1,2,1,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,50,2,0,3,2,4,3,0,6,0,70
"ROBERTS, Andrew",0,0,0,0,0,0,3,1,0,1,1,1,0,0,0,0,0,14,2,0,2,0,2,1,0,1,0,0,3,0,0,2,2,4,0,2,2,0,0,0,2,1,1,0,0,0,0,3,0,2,2,2,2,0,0,1,8,2,0,2,0,0,0,0,1,4,1,0,78,10,3,6,5,6,11,0,11,0,130
"TRIFFITT, Loueen (Lou)",0,2,0,5,0,3,6,1,0,1,0,1,0,2,0,0,0,6,2,1,1,0,0,0,1,1,3,0,0,0,0,1,0,2,2,0,2,3,0,1,5,3,3,1,1,0,8,4,2,0,0,3,3,0,1,0,5,4,1,1,1,2,2,1,0,3,5,0,106,3,9,2,7,12,26,0,9,1,175
ungrouped,0,5,0,6,0,8,14,2,3,3,3,2,2,2,0,0,1,23,6,3,5,0,2,3,1,6,3,1,5,0,1,6,6,7,2,2,10,3,0,1,11,9,6,3,2,1,9,12,3,2,3,7,8,0,1,2,15,13,3,4,2,2,2,1,2,8,6,0,284,18,13,20,15,32,48,0,35,2,467
Total Formal Votes,167,797,550,325,401,"1,534","2,091",212,537,637,733,287,359,190,174,241,716,"1,748","1,980",397,431,234,174,802,275,961,279,632,"1,271",337,327,431,"1,957",547,446,269,"1,257",192,270,314,"1,562","1,058",728,631,"1,791",461,277,"1,884",756,533,365,"1,365",647,853,337,348,961,"2,419",845,494,760,356,285,557,251,"1,188",351,216,"47,761","3,146","1,434","4,037","1,843","3,255","6,832",452,"5,059",232,"74,051"
Informal Ballot Papers,16,72,42,31,26,250,219,12,51,57,50,22,25,9,11,15,57,166,150,37,36,17,15,40,37,152,28,67,95,29,13,25,165,43,60,14,94,15,14,21,149,133,35,50,108,25,39,171,66,62,38,95,48,44,32,21,104,199,82,42,52,24,16,53,15,104,26,15,"4,146",191,93,240,139,189,232,43,480,16,"5,769"
Total Ballot Papers,183,869,592,356,427,"1,784","2,310",224,588,694,783,309,384,199,185,256,773,"1,914","2,130",434,467,251,189,842,312,"1,113",307,699,"1,366",366,340,456,"2,122",590,506,283,"1,351",207,284,335,"1,711","1,191",763,681,"1,899",486,316,"2,055",822,595,403,"1,460",695,897,369,369,"1,065","2,618",927,536,812,380,301,610,266,"1,292",377,231,"51,907","3,337","1,527","4,277","1,982","3,444","7,064",495,"5,539",248,"79,820"
