Candidates,Beaconsfield,Beauty Point,Branxholm,Bridport,Dilston,East Launceston,Exeter,Five Ways,George Town,George Town South,Gladstone,Glengarry,Gravelly Beach,Hillwood,Inveresk,Invermay,Karoola,Kelso,Kings Meadows,Lady Barron,Launceston,Launceston Central,Lebrina,Legana,Lilydale,Mowbray,Newnham,Newstead,Norwood,Nunamara,Pipers River,Prospect,Ravenswood,Ringarooma,Riverside,Riverside West,Rocherlea,Scottsdale,Sidmouth,South Launceston,St Leonards,Summerhill,Trevallyn,Waverley,West Launceston,Weymouth,Whitemark,Winnaleah,Youngtown,Total Ordinary Votes,George Town Pre-Poll,Launceston Pre-Poll,Scottsdale Pre-Poll,Postal,Mobile,Out of Division,Out of Division Pre-Poll,Provisional,Total
"LAYTON-BENNETT, Anne",13,7,9,5,27,41,21,12,18,3,1,6,12,7,39,20,1,7,23,3,22,34,3,26,22,20,21,30,19,5,2,12,10,2,31,23,8,7,12,12,15,28,35,10,41,2,7,4,10,748,14,172,8,69,13,56,6,5,"1,091"
"ROSOL, Cecily",9,5,3,3,7,16,14,4,8,7,0,3,14,6,21,9,2,0,20,1,22,18,3,20,12,16,8,25,20,3,0,5,12,2,26,12,4,4,0,10,7,8,30,9,27,0,4,2,2,463,8,125,7,47,10,24,4,3,691
Tasmanian Greens,60,38,27,33,93,192,105,72,67,26,7,22,92,47,180,118,19,32,144,11,154,169,20,200,115,102,105,194,140,28,18,29,62,15,195,137,27,44,46,93,79,129,329,65,330,14,42,17,66,"4,349",70,981,46,373,53,258,30,21,"6,181"
"HARVEY, Andrew",50,7,8,18,19,14,50,7,53,26,11,9,11,8,29,43,18,5,43,4,6,12,13,48,25,34,71,35,34,17,13,7,59,10,32,26,26,31,11,18,33,48,11,39,20,4,11,5,35,"1,167",47,159,30,135,8,81,11,11,"1,649"
"Shooters, Fishers, Farmers TAS",50,7,8,18,19,14,50,7,53,26,11,9,11,8,29,43,18,5,43,4,6,12,13,48,25,34,71,35,34,17,13,7,59,10,32,26,26,31,11,18,33,48,11,39,20,4,11,5,35,"1,167",47,159,30,135,8,81,11,11,"1,649"
"RAMAGE, Roy",6,3,1,1,5,5,9,1,8,3,2,3,9,5,13,5,3,3,11,0,3,4,1,12,4,6,15,8,3,4,1,3,10,1,11,6,3,3,2,1,18,5,3,24,8,0,1,2,4,262,6,47,5,41,1,12,1,2,377
Ungrouped,6,3,1,1,5,5,9,1,8,3,2,3,9,5,13,5,3,3,11,0,3,4,1,12,4,6,15,8,3,4,1,3,10,1,11,6,3,3,2,1,18,5,3,24,8,0,1,2,4,262,6,47,5,41,1,12,1,2,377
Total Formal Ballot Papers,982,568,219,873,738,"1,111","1,165",726,"1,118",576,133,248,613,505,"1,199","1,162",369,308,"1,868",129,694,739,231,"2,578",687,"1,000","2,137","1,629","1,934",308,235,459,"1,482",257,"1,977","1,507",918,824,453,575,"1,385","2,191","1,350","1,021","1,538",148,344,191,"1,469","44,871","1,297","10,148","1,174","6,283","1,054","1,943",281,301,"67,352"
Informal Ballot Papers,74,25,10,33,37,28,61,40,103,46,11,13,34,31,110,71,19,17,105,17,23,22,5,125,35,96,239,82,103,35,29,30,167,11,72,53,91,46,13,27,68,125,49,99,55,3,23,9,82,"2,702",59,379,51,131,83,109,17,13,"3,544"
Total Ballot Papers,"1,056",593,229,906,775,"1,139","1,226",766,"1,221",622,144,261,647,536,"1,309","1,233",388,325,"1,973",146,717,761,236,"2,703",722,"1,096","2,376","1,711","2,037",343,264,489,"1,649",268,"2,049","1,560","1,009",870,466,602,"1,453","2,316","1,399","1,120","1,593",151,367,200,"1,551","47,573","1,356","10,527","1,225","6,414","1,137","2,052",298,314,"70,896"
