Candidates,Acton,Boat Harbour,Burnie,Calder,Cooee,Currie,Devonport Central,Devonport North West,Devonport South,Devonport West,Don,East Devonport,Edith Creek,Elliott,Forest,Forth,Gawler,Grassy,Havenview,Heybridge,Highclere,Irishtown,Latrobe,Marrawah,Melrose,Montello,Moorleah,Natone,North Motton,Penguin,Port Sorell,Preston,Queenstown,Riana,Ridgley,Rocky Cape,Romaine,Rosebery,Sassafras,Shorewell Park,Sisters Beach,Sisters Creek,Smithton,Somerset,South Riana,Sprent,Spreyton,Stanley,Stowport,Strahan,Sulphur Creek,Tullah,Turners Beach,Ulverstone Central,Ulverstone East,Ulverstone South,Waratah,Wesley Vale,West Ulverstone,Wivenhoe,Wynyard Central,Wynyard West,Yolla,Zeehan,Total Ordinary Votes,Burnie Pre-Poll,Devonport Pre-Poll,Queenstown Pre-Poll,Smithton Pre-Poll,Out of Division Pre-Poll,Braddon Postal 1 (Telephone Votes),Braddon Postal 2 and 3,Mobile,Out of Division,Provisional,Total
Group C,6,1,4,0,4,0,7,48,14,6,19,23,1,1,0,1,4,1,0,2,0,0,22,0,3,7,1,0,2,6,23,0,4,2,5,0,4,2,6,2,0,0,5,2,1,1,9,0,2,1,1,0,12,13,9,19,1,8,6,2,0,2,3,1,329,17,95,1,3,2,9,32,1,12,0,501
"GARLAND, Craig",129,116,118,41,103,40,38,139,51,26,75,82,23,95,25,54,55,7,52,51,13,7,114,35,16,72,54,22,38,188,159,15,31,16,59,64,111,21,16,68,111,31,110,189,21,28,63,52,48,9,107,10,74,115,36,110,14,32,109,44,407,253,71,25,"4,508","1,108",643,26,200,38,141,400,52,100,11,"7,227"
Group D,129,116,118,41,103,40,38,139,51,26,75,82,23,95,25,54,55,7,52,51,13,7,114,35,16,72,54,22,38,188,159,15,31,16,59,64,111,21,16,68,111,31,110,189,21,28,63,52,48,9,107,10,74,115,36,110,14,32,109,44,407,253,71,25,"4,508","1,108",643,26,200,38,141,400,52,100,11,"7,227"
"BROAD, Shane",61,12,33,2,30,20,55,152,82,50,88,155,3,13,9,28,36,2,26,14,5,1,148,4,11,31,8,2,11,55,137,2,6,4,22,8,25,11,4,25,6,1,27,61,7,11,86,8,9,14,35,3,47,115,51,144,8,15,102,15,44,36,9,11,"2,256",394,856,34,52,23,138,274,67,40,7,"4,141"
"DIPROSE, Amanda",31,2,16,4,12,6,24,45,37,17,19,56,2,4,6,9,18,2,11,3,0,1,39,1,3,15,1,1,9,27,39,2,12,3,7,4,29,13,1,16,3,0,11,21,2,14,29,1,4,6,14,1,16,47,30,86,6,2,56,11,29,15,5,5,961,165,259,14,15,7,24,82,26,19,6,"1,578"
"DOW, Anita",225,21,122,18,77,39,37,109,45,33,41,110,4,36,15,26,14,11,64,17,15,2,100,5,9,111,8,10,9,65,98,4,32,4,79,17,157,26,5,122,12,6,54,154,6,8,53,12,17,22,55,9,28,34,28,68,18,12,57,36,151,128,20,26,"2,956","1,339",589,70,135,31,106,384,84,67,9,"5,770"
"FULLER, Cheryl",28,3,15,1,7,7,16,45,23,12,21,26,0,3,3,17,22,1,7,12,2,1,32,1,1,14,2,0,7,80,39,5,9,6,8,1,9,6,4,10,2,0,21,21,7,14,5,1,1,4,28,1,35,64,33,77,5,3,78,2,21,7,3,5,944,136,227,13,33,7,39,99,27,35,4,"1,564"
"HUNT, Kelly (Hooch)",30,8,19,3,15,11,34,82,36,39,52,81,1,6,5,35,17,4,15,5,0,0,79,1,6,11,2,0,10,35,57,4,10,3,14,9,19,7,5,11,5,1,13,26,4,9,61,2,11,9,14,1,25,30,25,50,3,8,54,6,18,21,4,9,"1,190",150,305,10,25,9,13,72,24,25,5,"1,828"
"LUKE, Adrian",31,1,7,5,6,7,12,37,22,9,17,21,2,1,3,3,2,1,4,2,1,1,32,2,3,7,2,3,2,10,27,0,4,0,6,2,12,7,3,7,1,1,15,17,2,0,30,3,1,5,5,1,6,15,7,20,3,2,13,1,13,13,6,5,509,88,166,13,29,8,17,56,14,21,3,924
"WOODHOUSE, Tara",24,5,12,0,6,6,15,42,27,9,12,35,2,1,1,2,3,4,4,4,5,0,34,1,0,13,1,0,4,10,30,0,9,3,5,2,14,8,2,3,1,0,10,24,0,7,13,1,1,7,6,3,3,7,3,25,3,3,13,3,18,13,0,5,527,110,162,13,20,8,16,50,25,24,3,958
Australian Labor Party,430,52,224,33,153,96,193,512,272,169,250,484,14,64,42,120,112,25,131,57,28,6,464,15,33,202,24,16,52,282,427,17,82,23,141,43,265,78,24,194,30,9,151,324,28,63,277,28,44,67,157,19,160,312,177,470,46,45,373,74,294,233,47,66,"9,343","2,382","2,564",167,309,93,353,"1,017",267,231,37,"16,763"
"ELLIS, Felix",30,10,39,3,13,24,40,92,54,27,60,99,4,8,12,35,41,8,9,10,8,3,95,3,11,18,12,6,29,72,140,4,31,5,19,8,31,12,20,26,5,1,49,33,6,13,54,6,9,29,37,6,47,60,59,124,4,15,86,14,32,19,1,21,"1,901",275,469,48,85,9,106,136,45,51,4,"3,129"
"JAENSCH, Roger",42,27,32,15,36,15,4,36,6,7,7,25,4,25,10,10,10,3,18,5,8,3,28,3,3,16,15,4,3,37,38,1,4,5,27,14,41,5,4,34,14,3,26,41,6,1,18,14,6,12,21,2,17,21,20,27,2,5,25,16,121,84,11,7,"1,150",295,144,14,70,8,28,77,28,34,1,"1,849"
"PARRY, Stephen",16,3,15,2,11,2,7,12,7,2,9,12,1,6,4,13,17,1,7,3,0,0,15,2,2,6,0,1,11,20,13,1,6,2,6,4,6,3,1,5,2,2,4,8,5,5,9,1,2,1,14,2,11,53,26,43,1,0,41,3,16,15,3,4,525,97,122,8,7,3,19,36,23,14,2,856
"PEARCE, Gavin",54,60,52,27,55,64,24,78,31,14,57,41,23,47,65,34,37,13,20,23,26,22,63,36,31,29,32,9,20,94,81,4,17,13,45,61,74,9,21,58,26,22,193,104,17,21,41,48,20,11,72,3,38,76,39,87,12,15,70,35,153,172,38,16,"2,893",768,516,30,405,21,112,273,74,72,11,"5,175"
"ROCKLIFF, Jeremy",212,60,181,25,191,245,283,883,295,251,501,561,26,75,87,170,246,34,80,90,27,31,980,34,114,126,12,30,107,408,896,40,102,53,106,55,269,52,173,191,27,17,299,259,53,77,530,85,83,98,233,30,296,385,245,538,12,152,433,81,277,214,61,78,"12,865","2,131","4,125",214,513,110,538,"1,083",324,339,31,"22,273"
"SIMPSON, Giovanna",54,7,32,1,10,4,3,21,8,3,15,15,1,9,3,8,5,1,18,9,4,1,26,3,1,38,0,3,4,20,14,0,5,4,19,6,47,7,1,30,2,0,13,40,3,0,12,3,6,0,14,2,5,8,3,20,1,1,13,11,22,21,3,4,667,267,90,12,20,1,15,40,19,21,3,"1,155"
"WYLIE, Kate",10,2,7,1,6,6,11,32,19,13,31,23,2,3,5,13,4,1,0,1,0,2,33,2,2,2,2,1,5,9,28,1,3,1,5,0,8,5,5,3,1,0,7,8,4,1,17,0,3,1,5,1,34,19,12,16,1,7,18,1,11,4,1,3,482,46,142,4,8,2,13,31,17,15,2,762
Liberal Party,418,169,358,74,322,360,372,"1,154",420,317,680,776,61,173,186,283,360,61,152,141,73,62,"1,240",83,164,235,73,54,179,660,"1,210",51,168,83,227,148,476,93,225,347,77,45,591,493,94,118,681,157,129,152,396,46,448,622,404,855,33,195,686,161,632,529,118,133,"20,483","3,879","5,608",330,"1,108",154,831,"1,676",530,546,54,"35,199"
"BESWICK, Miriam",4,5,4,2,3,4,13,36,18,11,9,23,1,1,5,12,3,0,1,2,4,0,35,0,5,5,3,1,7,13,13,0,1,1,7,3,7,3,4,5,2,0,10,11,3,0,4,1,3,2,3,1,10,27,9,15,2,15,19,4,17,13,1,3,449,64,146,1,13,5,20,47,9,13,0,767
"ROBERTS, Andrew",3,0,4,1,2,1,5,9,4,4,8,10,0,1,1,2,6,0,1,1,0,0,13,1,4,3,0,2,4,5,9,2,1,0,2,0,4,2,1,3,0,2,4,8,0,2,9,5,0,1,2,1,4,4,3,9,0,0,8,2,8,4,1,6,202,48,55,5,7,3,3,26,3,3,1,356
The Nationals,7,5,8,3,5,5,18,45,22,15,17,33,1,2,6,14,9,0,2,3,4,0,48,1,9,8,3,3,11,18,22,2,2,1,9,3,11,5,5,8,2,2,14,19,3,2,13,6,3,3,5,2,14,31,12,24,2,15,27,6,25,17,2,9,651,112,201,6,20,8,23,73,12,16,1,"1,123"
"PICKIN, Adrian",51,7,28,4,13,26,24,54,43,24,28,74,7,17,8,23,18,6,21,12,10,2,89,4,17,24,9,10,11,47,39,10,21,10,30,7,47,13,11,14,1,5,45,55,20,19,57,1,13,18,30,4,15,23,30,70,6,15,46,15,35,37,15,31,"1,519",230,280,39,49,7,28,127,9,62,5,"2,355"
"Shooters, Fishers, Farmers TAS",51,7,28,4,13,26,24,54,43,24,28,74,7,17,8,23,18,6,21,12,10,2,89,4,17,24,9,10,11,47,39,10,21,10,30,7,47,13,11,14,1,5,45,55,20,19,57,1,13,18,30,4,15,23,30,70,6,15,46,15,35,37,15,31,"1,519",230,280,39,49,7,28,127,9,62,5,"2,355"
"BARNES, Dami",5,0,0,0,0,2,3,6,5,2,1,3,1,0,0,0,2,1,0,0,1,0,2,0,1,1,1,0,1,4,4,0,0,0,0,1,1,1,0,1,0,0,1,3,1,0,2,0,1,1,0,0,2,3,3,4,0,0,3,0,2,1,0,1,78,5,18,1,1,0,7,5,0,4,0,119
"BURNETT, Gatty",1,0,1,0,1,0,2,7,0,2,2,3,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,2,2,1,1,0,0,3,2,0,0,3,0,0,0,2,0,0,4,2,0,0,0,3,1,1,0,0,1,56,12,8,1,3,1,0,6,0,3,0,90
"HAMILTON, Jennifer",4,0,1,0,0,1,3,8,3,1,4,0,1,0,0,1,0,0,1,1,0,0,4,0,0,1,2,0,0,3,2,0,0,0,1,0,1,2,0,0,0,0,2,4,0,0,3,0,1,1,0,0,3,7,3,6,0,0,1,2,1,1,2,1,83,9,7,1,1,1,6,8,2,8,0,126
"MILLET, Ernst",0,0,2,1,0,1,4,6,0,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,1,1,2,2,1,2,1,0,3,1,0,0,45,5,10,0,1,1,0,7,0,1,0,70
"MORGAN, Matthew",1,0,3,0,1,3,2,1,3,1,2,5,1,0,0,1,1,0,1,1,0,0,4,1,1,1,0,0,1,0,4,0,1,0,0,1,4,1,0,2,0,0,7,4,1,1,6,5,1,2,1,0,1,5,0,3,0,0,1,0,2,1,0,1,90,9,8,2,22,0,3,8,0,3,0,145
"WELLS, Melissa Jane",5,0,2,1,1,1,2,2,1,1,0,5,1,0,4,1,0,0,0,0,0,1,4,1,0,2,0,1,1,1,2,0,3,0,0,1,2,0,1,2,0,0,16,2,0,0,1,2,0,0,1,0,0,4,3,2,0,0,1,1,2,1,0,4,89,9,18,2,11,1,2,3,1,5,1,142
ungrouped,16,0,9,2,3,8,16,30,12,8,12,19,4,2,5,3,3,1,2,2,1,1,18,2,2,6,3,1,3,9,14,1,4,1,1,3,10,7,3,7,0,0,29,15,4,2,15,7,3,4,4,0,7,24,13,17,1,2,10,4,11,5,2,8,441,49,69,7,39,4,18,37,3,24,1,692
Total Formal Votes,"1,196",373,857,170,679,584,775,"2,228",949,617,"1,201","1,633",118,394,283,580,605,110,392,293,146,82,"2,174",148,274,632,184,116,328,"1,397","2,185",114,343,146,524,285,"1,034",257,305,711,241,99,"1,007","1,200",197,247,"1,216",279,261,273,780,87,827,"1,283",753,"1,753",117,343,"1,400",338,"1,547","1,150",279,304,"41,403","8,473","10,413",631,"1,816",359,"1,610","3,747",939,"1,162",133,"70,686"
Informal Ballot Papers,134,16,71,10,32,60,55,161,105,49,84,183,11,19,13,28,47,10,31,22,13,7,195,7,19,60,12,14,24,78,127,10,28,8,42,13,80,49,13,41,13,5,93,98,19,18,86,17,19,22,51,8,50,81,62,144,17,21,139,30,111,96,18,55,"3,254",551,708,55,117,26,14,114,82,83,8,"5,012"
Total Ballot Papers,"1,330",389,928,180,711,644,830,"2,389","1,054",666,"1,285","1,816",129,413,296,608,652,120,423,315,159,89,"2,369",155,293,692,196,130,352,"1,475","2,312",124,371,154,566,298,"1,114",306,318,752,254,104,"1,100","1,298",216,265,"1,302",296,280,295,831,95,877,"1,364",815,"1,897",134,364,"1,539",368,"1,658","1,246",297,359,"44,657","9,024","11,121",686,"1,933",385,"1,624","3,861","1,021","1,245",141,"75,698"
