Candidates,Blessington Upper,Branxholm,Bridport,Cosgrove Park,Derby,Dilston,East Launceston,Elphin,Five Ways,General Hospital,George Town,George Town South,Gladstone,Hadspen,Hillwood,Inveresk,Invermay,Karoola,Kings Meadows,Lady Barron,Launceston,Launceston Central,Lebrina,Legana (Bass),Lilydale,Mowbray,Newnham,Newstead,Norwood,Nunamara,Pipers River,Prospect,Prospect Vale,Ravenswood,Ringarooma,Riverside,Riverside West,Rocherlea,Scottsdale,South Launceston,St Leonards,Summerhill,Targa,Trevallyn,Waverley,West Launceston,Weymouth,Whitemark,Windmill Hill,Winnaleah,Youngtown,Total Ordinary Votes,Pre-Poll Votes,Postal Votes,Mobile Votes,Out of Division Votes,Provisional Votes,Total
FERGUSON Michael,10,24,126,60,14,148,158,173,296,131,322,195,18,298,88,152,264,56,476,38,169,184,42,551,116,179,563,307,569,30,41,583,356,292,53,643,385,112,261,68,273,897,9,350,116,362,28,80,108,32,355,11 161,1 198,1 024,325,617,93,14 418
GUTWEIN Peter,34,42,363,84,29,177,247,216,250,115,263,154,32,256,105,201,276,75,440,25,150,140,53,368,184,174,546,379,659,83,60,480,351,205,108,521,254,127,602,69,316,681,31,363,128,290,62,72,251,48,374,11 513,1 419,1 122,365,562,60,15 041
JARVIS Barry John,1,54,312,8,13,16,18,21,27,14,70,55,34,23,13,26,25,12,52,5,19,19,16,41,42,23,53,35,64,10,9,51,34,20,51,39,24,24,416,14,39,66,2,22,12,39,5,14,13,51,29,2 095,133,168,59,117,10,2 582
McNAIR Leonie,3,4,15,12,0,13,50,38,37,15,31,7,5,22,4,22,26,7,56,3,29,43,3,38,17,33,54,62,91,2,4,53,32,27,5,72,34,15,15,16,32,67,2,54,15,35,8,5,61,0,49,1 343,210,100,39,87,16,1 795
Liberal Party,52,127,840,176,57,388,509,484,659,310,757,458,92,673,218,427,654,162,1 140,74,429,443,117,1 118,384,449,1 299,861,1 533,131,128,1 267,842,576,230,1 429,769,304,1 344,187,707,1 883,48,871,300,810,109,188,472,136,889,28 510,3 239,2 566,831,1 535,201,36 882
BOOTH Kim,5,16,61,21,15,103,205,106,161,131,109,44,15,55,59,120,148,32,158,9,176,143,18,189,133,71,154,208,185,35,21,105,73,106,18,266,130,32,66,52,62,176,10,397,44,387,20,44,145,7,98,5 144,665,399,45,361,47,6 661
DAWKINS Andrea,2,4,4,4,1,2,13,5,15,12,7,3,0,5,0,9,14,1,8,0,15,26,2,16,5,6,8,13,12,2,0,8,3,2,3,17,12,2,2,7,4,13,0,24,1,24,2,5,7,1,4,355,40,28,7,33,4,467
LAYTON-BENNETT Anne,1,0,4,1,0,6,3,5,7,6,10,4,0,2,2,5,15,2,8,2,12,6,3,2,5,2,14,8,7,0,5,8,4,6,2,9,2,1,4,4,5,13,0,14,5,9,0,3,2,0,6,244,29,23,13,25,0,334
POVEY Anna,1,0,3,1,0,6,10,7,4,6,6,4,1,3,2,6,11,1,5,0,6,9,4,3,4,4,18,10,7,0,0,6,4,8,2,13,4,2,0,6,5,6,0,22,6,17,0,1,11,1,5,261,45,18,2,37,3,366
TYLER Amy,2,1,2,1,0,2,10,6,5,9,7,3,1,1,1,4,15,3,7,2,10,9,4,4,5,7,10,9,6,2,1,8,12,6,2,7,8,1,3,3,5,11,2,20,5,18,0,8,5,2,5,280,33,18,4,31,3,369
Tasmanian Greens,11,21,74,28,16,119,241,129,192,164,139,58,17,66,64,144,203,39,186,13,219,193,31,214,152,90,204,248,217,39,27,135,96,128,27,312,156,38,75,72,81,219,12,477,61,455,22,61,170,11,118,6 284,812,486,71,487,57,8 197
LUCAS Brett Edward,0,0,1,1,0,1,0,1,6,2,11,2,1,3,0,2,7,3,4,1,1,3,0,4,3,3,9,3,1,1,0,5,1,6,0,4,4,1,6,2,5,8,0,1,3,4,0,0,1,0,2,127,14,17,1,8,0,167
ROBERTS Andrew,0,0,2,0,1,3,3,9,4,3,7,4,0,5,2,3,5,5,11,0,1,3,1,3,2,5,8,6,6,2,3,5,1,6,1,13,3,4,4,1,4,8,0,5,5,7,0,1,1,1,5,182,14,14,1,12,0,223
Total Formal Votes,84,184,1 085,291,101,633,954,809,1 306,685,1 667,892,152,1 088,375,949,1 368,295,2 062,119,924,842,205,1 751,696,942,2 673,1 458,2 277,228,226,1 966,1 200,1 584,333,2 275,1 253,664,1 773,414,1 154,2 967,84,1 658,795,1 655,162,322,758,189,1 473,50 000,5 322,4 511,1 275,2 923,428,64 459
Informal Ballot Papers,9,10,36,7,7,27,18,41,88,34,126,47,6,49,13,70,92,10,116,14,44,25,9,80,26,69,195,49,112,13,11,91,55,163,16,93,41,62,66,29,60,204,7,57,104,68,6,14,12,7,54,2 662,146,83,71,144,24,3 130
Total Ballot Papers,93,194,1 121,298,108,660,972,850,1 394,719,1 793,939,158,1 137,388,1 019,1 460,305,2 178,133,968,867,214,1 831,722,1 011,2 868,1 507,2 389,241,237,2 057,1 255,1 747,349,2 368,1 294,726,1 839,443,1 214,3 171,91,1 715,899,1 723,168,336,770,196,1 527,52 662,5 468,4 594,1 346,3 067,452,67 589
