Candidates,Adventure Bay,Alonnah,Bellerive,Blackmans Bay,Blackmans Bay South,Cambridge,Clarence,Clarendon Vale,Cradoc,Cygnet,Dover,Geeveston,Geilston Bay,Glen Huon,Howden,Howrah,Huonville,Judbury,Kettering,Kingston,Kingston Beach,Lauderdale,Lindisfarne,Lindisfarne Village,Maranoa Heights,Margate,Middleton,Montagu Bay,Mornington,Mountain River,Ranelagh,Risdon Vale,Rokeby,Sandfly,Sandford,Seven Mile Beach,Snug,South Arm,Southport,Tranmere,Warrane,Woodbridge,Total Ordinary Votes,Kingston Pre-Poll,Rosny Pre-Poll,Out of Division Pre-Poll,Franklin Postal 1 (Telephone Votes),Franklin Postal 2 and 3,Mobile,Out of Division,Provisional,Total
"GEORGE, Peter",33,51,277,180,209,170,214,39,124,518,63,141,212,66,73,206,269,37,169,365,151,284,216,231,94,245,86,158,60,110,148,91,80,127,349,135,187,184,19,252,42,148,"6,813","1,456",950,786,348,758,41,305,42,"11,499"
"HOUSTON, Anthony",0,0,2,1,1,8,2,1,2,0,1,5,1,0,1,3,1,0,0,9,0,8,1,8,1,3,0,3,0,1,1,3,3,4,3,2,6,3,1,6,0,2,97,19,12,14,6,21,0,10,0,179
"JENNER, Andrew",0,1,7,1,1,6,3,0,0,6,1,4,3,0,0,4,1,3,1,3,1,12,2,4,1,5,1,2,0,0,2,2,2,0,2,7,1,3,0,5,2,0,99,15,16,23,7,16,1,10,4,191
"MATERIA, Chrissie",2,0,3,0,2,1,1,1,0,5,2,2,1,1,0,0,0,0,0,5,0,1,1,4,0,4,0,1,0,1,1,4,1,3,2,0,2,1,0,5,1,8,66,13,6,5,2,9,1,8,0,110
Group C,35,53,304,186,221,197,226,47,130,550,71,159,229,72,75,227,283,45,172,403,162,313,225,255,103,263,93,171,64,115,163,111,95,143,366,148,203,191,21,281,45,161,"7,377","1,564","1,016",855,387,850,46,353,51,"12,499"
"ABETZ, Eric",14,41,102,131,107,154,136,66,68,154,109,190,140,46,43,153,218,38,64,404,99,207,102,138,127,212,31,82,77,69,169,83,89,97,123,81,139,79,27,203,38,33,"4,683","1,520",840,642,270,820,68,241,25,"9,109"
"GARVIN, Josh",2,4,45,12,12,44,30,26,7,23,17,17,41,7,3,63,44,4,8,60,6,60,33,25,17,34,0,24,30,6,22,40,32,13,34,12,24,6,0,49,12,2,950,158,167,124,38,92,10,67,5,"1,611"
"HOWLETT, Michele",3,3,30,20,4,28,23,14,5,23,10,16,28,5,8,41,29,1,4,45,9,33,29,25,7,13,0,26,20,7,14,45,29,15,18,22,14,5,2,36,10,6,725,89,132,143,22,93,16,69,4,"1,293"
"MILLER, Natasha",2,4,28,15,14,41,24,25,9,18,18,35,27,9,3,45,35,3,2,63,7,51,19,24,14,27,2,14,16,10,20,26,14,10,39,16,11,14,2,27,12,4,799,131,101,90,15,76,6,60,4,"1,282"
"PETRUSMA, Jacquie",4,8,91,65,56,129,111,65,39,65,60,66,83,24,26,176,111,26,38,219,46,200,74,116,73,98,12,67,51,46,84,74,75,45,115,91,64,46,5,169,38,14,"3,065",695,588,514,121,544,54,236,18,"5,835"
"STREET, Nic",12,9,52,50,77,82,53,35,36,55,38,66,64,22,26,95,140,17,20,187,41,87,48,61,52,99,10,44,41,33,42,49,52,41,56,42,70,23,5,80,25,18,"2,155",542,328,223,60,234,38,130,9,"3,719"
"YOUNG, Dean",2,8,69,27,20,40,56,39,22,34,22,36,36,10,6,95,82,8,21,62,14,70,33,33,19,38,4,26,35,13,43,30,50,13,43,25,25,18,4,64,19,9,"1,323",201,260,159,38,126,19,106,9,"2,241"
Liberal Party,39,77,417,320,290,518,433,270,186,372,274,426,419,123,115,668,659,97,157,"1,040",222,708,338,422,309,521,59,283,270,184,394,347,341,234,428,289,347,191,45,628,154,86,"13,700","3,336","2,416","1,895",564,"1,985",211,909,74,"25,090"
"ALLEN, Carly",3,2,23,6,2,9,13,5,5,10,7,5,13,3,3,20,20,2,7,25,11,14,11,18,5,9,1,15,14,1,10,9,11,7,12,5,11,1,3,17,7,3,378,47,36,41,21,32,2,39,4,600
"CHAPMAN, Brian",0,0,10,9,4,5,7,7,6,5,1,3,8,2,0,7,5,1,3,22,8,15,7,10,9,8,0,7,7,2,4,8,7,2,6,3,4,4,1,7,3,3,230,37,20,33,5,20,1,27,2,375
"CORDOVER, Gideon",0,2,9,11,8,2,10,14,2,8,3,9,4,1,1,11,14,2,2,33,10,11,7,5,6,12,0,3,4,1,4,8,7,2,4,3,3,0,1,3,4,6,250,43,13,19,6,14,6,29,4,384
"DONNELLON, Mark",0,4,4,10,2,5,8,0,3,7,2,5,11,1,2,12,7,1,2,26,3,12,3,7,4,6,3,6,4,3,5,6,5,2,5,2,5,0,1,5,2,0,201,39,18,24,2,16,1,28,4,333
"FITZGERALD, Owen",0,7,29,13,9,14,25,13,1,11,4,14,20,2,1,23,22,4,1,42,12,19,19,19,9,9,0,10,12,4,9,14,19,12,11,4,9,24,1,15,12,3,501,68,54,61,15,37,2,67,6,811
"MUNSHI, Adi",0,1,8,7,0,2,3,4,3,10,2,2,5,0,3,7,5,1,1,17,9,7,7,4,1,2,2,4,4,2,4,7,5,2,4,0,4,1,0,5,5,0,160,25,16,18,3,10,1,22,2,257
"WOODRUFF, Rosalie",24,34,154,155,139,96,128,39,54,226,54,105,144,22,40,164,190,32,62,316,117,167,114,154,56,168,24,117,53,77,114,63,44,94,128,92,127,58,26,131,32,63,"4,197",856,540,442,246,503,26,284,30,"7,124"
Tasmanian Greens,27,50,237,211,164,133,194,82,74,277,73,143,205,31,50,244,263,43,78,481,170,245,168,217,90,214,30,162,98,90,150,115,98,121,170,109,163,88,33,183,65,78,"5,917","1,115",697,638,298,632,39,496,52,"9,884"
"GIBBENS, Sarah",0,0,2,6,4,3,2,5,4,8,6,7,6,2,1,12,8,4,3,15,4,5,4,5,4,5,1,4,1,2,4,13,8,10,8,0,7,3,2,7,5,2,202,43,11,20,11,29,1,13,0,330
"WILLINK, Hans Jurriaan",1,0,6,6,2,7,4,3,6,5,4,5,6,1,1,10,14,2,0,17,3,9,6,9,5,7,1,6,2,3,5,4,8,2,12,1,8,5,1,11,1,0,209,35,36,20,4,31,2,12,3,352
ungrouped,1,0,8,12,6,10,6,8,10,13,10,12,12,3,2,22,22,6,3,32,7,14,10,14,9,12,2,10,3,5,9,17,16,12,20,1,15,8,3,18,6,2,411,78,47,40,15,60,3,25,3,682
Total Formal Ballot Papers,150,253,"1,524","1,068","1,004","1,244","1,361",887,519,"1,493",637,"1,053","1,312",315,320,"1,908","1,794",253,509,"2,987",812,"1,933","1,155","1,367",793,"1,454",260,937,830,539,"1,002","1,255","1,180",688,"1,366",784,"1,010",632,137,"1,690",500,413,"41,328","9,070","6,638","5,215","1,794","5,532",516,"2,641",273,"73,007"
Informal Ballot Papers,6,9,73,43,47,59,56,111,36,99,57,100,73,25,12,79,131,29,28,153,39,90,65,54,49,42,20,46,56,30,82,136,129,41,69,31,60,28,15,61,38,16,"2,423",429,268,200,23,142,45,195,13,"3,738"
Total Ballot Papers,156,262,"1,597","1,111","1,051","1,303","1,417",998,555,"1,592",694,"1,153","1,385",340,332,"1,987","1,925",282,537,"3,140",851,"2,023","1,220","1,421",842,"1,496",280,983,886,569,"1,084","1,391","1,309",729,"1,435",815,"1,070",660,152,"1,751",538,429,"43,751","9,499","6,906","5,415","1,817","5,674",561,"2,836",286,"76,745"
