PollingPlaceName,PremiseName,PremiseAddress1,PremiseLocality
Perth, Perth Community Centre, 173 Fairtlough St,PERTH
Pontville, Pontville Old Council Chambers, 262 Midland Hwy,PONTVILLE
Port Arthur, Port Arthur Sports Ground, 2745 Nubeena Rd,PORT ARTHUR
Port Sorell, Port Sorell Memorial Hall, Cnr Darling and Meredith Sts,PORT SORELL
Primrose Sands, Primrose Sands Community Hall, 570 Primrose Sands Road,PRIMROSE SANDS
Pyengana, Pyengana War Memorial Hall, St Columba Falls Rd,PYENGANA
Railton, Railton Primary School, 94 Foster St,RAILTON
Ross, Ross Town Hall, 12 Bridge St,ROSS
Saltwater River, Saltwater River Public Hall, 600 Saltwater River Rd,SALTWATER RIVER
Sassafras, Sassafras Primary School, 50 School Rd,SASSAFRAS
Scamander, Scamander Fire Station, Campbell St,SCAMANDER
Sheffield, Sheffield District High School, 12 Henry St,SHEFFIELD
Sidmouth, Sidmouth Community Centre, 255 Batman Hwy,SIDMOUTH
Sorell, Sorell School Performing Arts Centre, 41 Gordon Street,SORELL
St Helens, St Helens Memorial Hall, Cecilia St,ST HELENS
St Marys, St Marys Community Hall, Main St,ST MARYS
Swansea, Swansea Town Hall, 12 Franklin St,SWANSEA
Taranna, Tasman Peninsula Community Centre, Gourlay Rd,TARANNA
Tea Tree, Tea Tree Community Hall, Briar Banks Rd,TEA TREE
Triabunna, Triabunna Council Chambers Recreation Room, 38 Vicary St,TRIABUNNA
Tunnack, Tunnack Public Hall, Tunnack Rd,TUNNACK
Wesley Vale, Wesley Vale Primary School, 20 Westwind Dr,WESLEY VALE
Westbury, Westbury Uniting Church Hall, Cnr Dexter and William Streets,WESTBURY
Westerway, Westerway Primary School, 1619 Gordon River Rd,WESTERWAY
Whitemore, Whitemore Historical Group Rooms (Old School), 769 Whitemore Rd,WHITEMORE
Wilmot, Wilmot Primary School, Main Road,WILMOT
