PollingPlaceNm,DivisionNm,GreensVotes,TotalVotes,GreensPercentage,PremisesNm,PremisesAddress,Latitude,Longitude,LegCo,LocalCouncil
Mathinna,Lyons,10,88,11.4,Mathinna Community Centre,"21 High St, MATHINNA 7214",-41.471914,147.890713,McIntyre,Break O'Day
Maydena,Lyons,20,130,15.4,Maydena Online Access Centre,"36 Kallista Rd, MAYDENA 7140",-42.755525,146.628534,Derwent,Derwent Valley
Meander,Lyons,61,275,22.2,Meander Primary School,"137 Main Rd, MEANDER 7304",-41.653057,146.611604,McIntyre,Meander Valley
Midway Point,Lyons,129,1355,9.5,Midway Point Community Hall,"34 Raynors Rd, MIDWAY POINT 7171",-42.799700,147.533000,Rumney,Sorell
Miena,Lyons,9,117,7.7,Miena Community Centre,"55-57 Cider Gum Rd, MIENA 7030",-41.993700,146.708000,Derwent,Central Highlands
Mole Creek,Lyons,43,291,14.8,Mole Creek Primary School,"4 Caveside Rd, MOLE CREEK 7304",-41.557472,146.406501,McIntyre,Meander Valley
Molesworth,Lyons,65,291,22.3,Molesworth Primary School,"540 Molesworth Rd, MOLESWORTH 7140",-42.803676,147.156638,Derwent,Derwent Valley
Moriarty,Braddon,31,252,12.3,Moriarty Hall,"1 Bonneys Lane, MORIARTY 7307",-41.217206,146.481308,Mersey,Latrobe
New Norfolk,Lyons,206,1779,11.6,New Norfolk Primary School,"8 Pioneer Ave, NEW NORFOLK 7140",-42.779300,147.064000,Derwent,Derwent Valley
New Norfolk North,Lyons,37,1228,3.0,New Norfolk Sport & Recreation Centre,"50 Derwent Terrace, NEW NORFOLK 7140",-42.772833,147.058401,Derwent,Derwent Valley
Nubeena,Lyons,93,527,17.6,Tasman Civic Centre,"21 Clarke St, NUBEENA 7184",-43.099706,147.744677,Prosser,Tasman
Oatlands,Lyons,51,566,9.0,Oatlands Council Chambers,"71 High St, OATLANDS 7120",-42.299995,147.372094,Prosser,Southern Midlands
Orford,Lyons,42,461,9.1,Orford Primary School,"35 Charles st, ORFORD 7190",-42.563502,147.873860,Prosser,Glamorgan-Spring Bay
Ouse,Lyons,12,213,5.6,Ouse Online Centre,"6947 Lyell Hwy, OUSE 7140",-42.485288,146.711018,Derwent,Central Highlands
Parattah,Lyons,10,132,7.6,Parattah Jubilee Hall,"657 Tunnack Rd, PARATTAH 7120",-42.350127,147.407363,Prosser,Southern Midlands
Perth,Lyons,109,1792,6.1,Perth Community Centre,"173 Fairtlough St, PERTH 7300",-41.572500,147.173000,McIntyre,Northern Midlands
Pontville,Lyons,57,663,8.6,Pontville Old Council Chambers,"371 Brighton Rd, PONTVILLE 7030",-42.683895,147.265554,Prosser,Brighton
Port Arthur,Lyons,25,180,13.9,Port Arthur Sports Ground,"2745 Nubeena Rd, PORT ARTHUR 7182",-43.142194,147.844684,Prosser,Tasman
Port Sorell,Braddon,196,2123,9.2,Port Sorell Memorial Hall,"cnr Meredith St & Darling St, PORT SORELL 7307",-41.165409,146.555718,Mersey,Latrobe
Primrose Sands,Lyons,37,468,7.9,Primrose Sands Community Hall,"570 Primrose Sands Rd, PRIMROSE SANDS 7173",-42.892403,147.671829,Prosser,Sorell
Pyengana,Lyons,19,118,16.1,Pyengana War Memorial Hall,"217 St Columba Falls Rd, PYENGANA 7216",-41.293012,148.002189,McIntyre,Break O'Day
Railton,Lyons,45,701,6.4,Sheffield School - Railton Campus,"94 Foster St, RAILTON 7305",-41.352600,146.414000,McIntyre,Kentish
Ross,Lyons,22,308,7.1,Ross Town Hall,"12 Bridge St, ROSS 7209",-42.031409,147.492498,Prosser,Northern Midlands
Saltwater River,Lyons,20,106,18.9,Saltwater River Public Hall,"600 Saltwater River Rd, SALTWATER 7186",-43.026911,147.727317,Prosser,Tasman
Sassafras,Braddon,7,221,3.2,Sassafras Primary School,"50 School Rd, SASSAFRAS 7307",-41.287100,146.503000,Mersey,Latrobe
Scamander,Lyons,116,569,20.4,Scamander Fire Station,"Campbell St, SCAMANDER 7215",-41.453806,148.261387,McIntyre,Break O'Day
Sheffield,Lyons,103,994,10.4,Sheffield School,"12 Henry St, SHEFFIELD 7306",-41.380689,146.330316,Montgomery,Kentish
Sidmouth,Bass,129,498,25.9,Sidmouth Community Centre,"255 Batman Hwy, SIDMOUTH 7270",-41.222100,146.887000,Rosevears,West Tamar
Sorell,Lyons,162,2027,8.0,Sorell School,"41 Gordon St, SORELL 7172",-42.785900,147.561000,Prosser,Sorell
St Helens,Lyons,247,1739,14.2,St Helens Memorial Hall,"39 Cecilia St, ST HELENS 7216",-41.322629,148.249351,McIntyre,Break O'Day
St Marys,Lyons,112,536,20.9,St Marys Community Hall,"23 Main St, ST MARYS 7215",-41.579690,148.185310,McIntyre,Break O'Day
Swansea,Lyons,85,706,12.0,Swansea Town Hall,"12 Franklin St, SWANSEA 7190",-42.124500,148.077000,Prosser,Glamorgan-Spring Bay
Taranna,Lyons,74,296,25.0,Tasman Peninsula Community Centre,"Gourlay Rd, TARANNA 7180",-43.037984,147.867522,Prosser,Tasman
Tea Tree,Lyons,22,206,10.7,Tea Tree Community Hall,"Briar Banks Rd, TEA TREE 7017",-42.689533,147.323592,Prosser,Brighton
Triabunna,Lyons,25,574,4.4,Triabunna Council Chambers,"38 Vicary St, TRIABUNNA 7190",-42.507836,147.917106,Prosser,Glamorgan-Spring Bay
Tunnack,Lyons,13,185,7.0,Tunnack Public Hall,"2147 Tunnack Rd, TUNNACK 7120",-42.456521,147.461779,Prosser,Southern Midlands
Wesley Vale,Braddon,21,179,11.7,Andrews Creek Primary School,"20 Westwind Dr, WESLEY VALE 7307",-41.188828,146.456401,Mersey,Latrobe
Westbury,Lyons,113,1178,9.6,Westbury Uniting Church Hall,"Cnr Dexter and William Streets, WESTBURY 7303",-41.532169,146.831655,McIntyre,Meander Valley
Westerway,Lyons,31,204,15.2,Westerway Primary School,"1619 Gordon River Rd, WESTERWAY 7140",-42.677500,146.787000,Derwent,Derwent Valley
Whitemore,Lyons,7,83,8.4,Whitemore Historical Group Rooms (Old School),"769 Whitemore Rd, WHITEMORE 7303",-41.582451,146.930587,McIntyre,Meander Valley
Wilmot,Lyons,49,211,23.2,Wilmot Primary School,"61 Main St, WILMOT 7310",-41.386919,146.175659,Montgomery,Kentish
